产品分类,基金简称,产品代码(OF),产品代码(HK),投资类型,截止日期,今年以来(%),近一月(%),近三月(%),近六月(%),近一年(%),近三年(%),成立以来(%),年化回报(%),成立日期,基金规模(亿),合作伙伴
境内-ETF,名称,,境内场内代码,,,,,,,,,,,,"ETF总规模
（亿，最新）",合作伙伴
境内-ETF,恒生科技ETF,,513130,,,,,,,,,,,,456,华泰柏瑞
境内-ETF,亚太精选ETF,,159687,,,,,,,,,,,,15,南方基金
境内-ETF,东南亚科技ETF,,513730,,,,,,,,,,,,13,华泰柏瑞
境内-ETF,新经济ETF,,159822,,,,,,,,,,,,2.6,银华基金
境内-ETF,沙特ETF,,159329//520830,,,,,,,,,,,,13/12.7,"华泰柏瑞/
南方基金"
境外-OF,工银标普中国ETF-美元,9167.OF,09167.HK,股票型基金,2026-03-24,-7.8134256938,-7.359575004,-8.9349824992,-14.247864516,-2.0447199254,3.7412174983,-13.9555231461,-1.603435916,2016-12-08,121.00421016959999,
境外-OF,恒生港股通红利ETF,3469.OF,03469.HK,股票型基金,2026-03-24,4.937188878,-4.7558186466,3.7352707736,9.359834198,--,--,9.359834198,--,2025-09-25,186.25714680330003,
境外-OF,美股七巨头ETF,3454.OF,03454.HK,股票型基金,2026-03-24,-10.8146881121,-5.9313649414,-12.3929539295,-6.8260861211,23.4027662904,--,19.7976628703,13.8005612969,2024-10-31,19.8476263713,
境外-OF,富时香港股票ETF,3443.OF,03443.HK,股票型基金,2026-03-24,-2.8271128271,-6.7936795325,-3.6404437023,-5.8229216473,--,--,15.97312,--,2025-05-02,3155.7071007075,
境外-OF,恒生港美科技 ETF,3442.OF,03442.HK,股票型基金,2026-03-24,-11.54118719,-8.3536308227,-12.1558070173,-18.2589262512,2.4785957231,--,2.4785957231,--,2025-03-25,119.7305236989,
境外-OF,富时东西股票精选 ETF,3441.OF,03441.HK,股票型基金,2026-03-24,6.2496994412,-5.739859042,4.7634853198,12.3403433127,42.5432258065,--,42.5432258065,--,2025-03-25,196.2286225964,
